location_name,latitude,longitude,source_note
Đồng Xuân Market,21.0381434,105.8500387,"Google Places API Text Search - query: 'Ngõ chợ Đồng Xuân, Hoàn Kiếm, Hà Nội'"
Bún chả 74 Hàng Quạt,21.0325441,105.8488354,"Google Places API Text Search - query: 'Bún chả Hàng Quạt, Ngõ 74 Hàng Quạt, Hoàn Kiếm, Hà Nội'"
Pho 10 Ly Quoc Su,21.0304701,105.84876,"Google Places API Text Search - query: 'Phở 10 Lý Quốc Sư, 10 Lý Quốc Sư, Hoàn Kiếm, Hà Nội'"
Bún Đậu hàng Khay,21.025434999999998,105.85222449999999,"Google Places API Text Search - query: 'Bún đậu mắm tôm Hàng Khay, Ngõ 31 Hàng Khay, Cửa Nam, Hà Nội'"
Bún Thang Bà Đức,21.032345799999998,105.852837,"Google Places API Text Search - query: 'Bún thang Bà Đức, 48 Cầu Gỗ, Hoàn Kiếm, Hà Nội'"
Bò Nướng Xuân Xuân,21.0352556,105.8534913,"Google Places API Text Search - query: 'Bò nướng Mã Mây, 47 Mã Mây, Hoàn Kiếm, Hà Nội'"
49 P. Bát Đàn,21.0335096,105.84625869999999,"Google Places API Text Search - query: 'Phở Bát Đàn, 49 Bát Đàn, Hoàn Kiếm, Hà Nội'"
Chả Cá Thăng Long,21.035633,105.849346,"Google Places API Text Search - query: 'Chả cá Lã Vọng, 14 Chả Cá, Hoàn Kiếm, Hà Nội'"
Chè Bốn Mùa,21.0351192,105.84940110000001,"Google Places API Text Search - query: 'Chè 4 Mùa, 4 Hàng Cân, Hoàn Kiếm, Hà Nội'"
Café Giảng,21.0334664,105.854518,"Google Places API Text Search - query: 'Cafe trứng Giảng, 39 Nguyễn Hữu Huân, Hoàn Kiếm, Hà Nội'"
Trang Tien Ice cream,21.0251135,105.85460649999999,"Google Places API Text Search - query: 'Kem Tràng Tiền, 35 Tràng Tiền, Cửa Nam, Hà Nội'"
"Nộm Bò Khô Long Vi Dung - Địa chỉ nộm bò khô, bánh bột lọc ngon chất lượng tại Hoàn kiếm Hà Nội",21.032042,105.85302039999999,"Google Places API Text Search - query: 'Nộm bò khô, 23 Hồ Hoàn Kiếm, Hà Nội'"
Bánh Bao Thúy Đỗ,21.028477199999998,105.8434866,"Google Places API Text Search - query: 'Bánh đậu đỏ, 22 Hàng Buồm, Hoàn Kiếm, Hà Nội'"
Thủy Tạ,21.0313413,105.8511539,"Google Places API Text Search - query: 'Kem chanh bạc hà, 2 Phường Lê Thái Tổ, Hoàn Kiếm, Hà Nội'"
Always Cafe - A magical wizard cafe,21.033535699999998,105.8548009,"Google Places API Text Search - query: 'Always Cafe (Bia Bơ), 8B Hàng Tre, Hoàn Kiếm, Hà Nội'"
Bún riêu cua 57B Hàng Bồ,21.033815999999998,105.84906289999999,"Google Places API Text Search - query: 'Bún riêu Hàng Bồ, 51 Hàng Bồ, Hoàn Kiếm, Hà Nội'"
24 P. Hàng Bồ,21.0340307,105.8496598,"Google Places API Text Search - query: '24 Hàng Bồ, Hoàn Kiếm, Hà Nội'"
Phở gánh Hàng Chiếu Ms.Thoa,21.036752099999998,105.85287989999999,"Google Places API Text Search - query: 'Phở Gánh Hàng Chiếu, Hoàn Kiếm, Hà Nội'"
Xôi Yến,21.0337304,105.85452,"Google Places API Text Search - query: 'Xôi Yến, 35b Nguyễn Hữu Huân, Hoàn Kiếm, Hà Nội'"
